iter	RMSE
0	1277.741741
1	1221.731503
2	1170.33993
3	1120.178132
4	1074.542586
5	1030.98106
6	993.508808
7	957.509344
8	925.0160476
9	893.9010263
10	865.6954063
11	839.9986615
12	815.9861145
13	793.8944371
14	773.6714443
15	756.2762626
16	738.9139796
17	724.4101256
18	710.293057
19	697.3663894
20	685.7759234
21	675.0132705
22	665.5523158
23	656.596299
24	648.5388988
25	640.8475117
26	633.9131449
27	627.3191235
28	621.3495918
29	616.136323
30	611.393549
31	607.0661445
32	603.2319081
33	599.8287105
34	596.7290208
35	593.7495539
36	591.1334546
37	588.7669182
38	586.5497351
39	584.5622912
40	582.7386831
41	581.0005556
42	579.4252654
43	577.8744511
44	576.7389446
45	575.4636644
46	574.4763981
47	573.2817302
48	572.4477387
49	571.6200833
50	570.8451002
51	570.2193932
52	569.6652205
53	568.9222828
54	568.400402
55	567.8550513
56	567.343339
57	566.7422578
58	566.0783544
59	565.7238042
60	565.3215195
61	564.7818325
62	564.3628916
63	563.9320726
64	563.6796939
65	563.3579274
66	563.0077268
67	562.6067684
68	562.2794295
69	561.8989253
70	561.6482054
71	561.376835
72	561.1119622
73	560.8392233
74	560.6227932
75	560.4508417
76	560.2365262
77	559.9868748
78	559.7623335
79	559.5808324
80	559.3507105
81	559.2161761
82	559.0398928
83	558.9355121
84	558.7452246
85	558.4765064
86	558.2768537
87	558.103216
88	557.9151716
89	557.7469071
90	557.5939598
91	557.429462
92	557.3865343
93	557.1408155
94	556.9666088
95	556.7629562
96	556.6469121
97	556.4845581
98	556.3464947
99	556.1620693
100	556.1016628
101	555.9472335
102	555.7685957
103	555.6492823
104	555.4676222
105	555.3075995
106	555.2146039
107	555.1121679
108	555.0150773
109	554.8995692
110	554.8607109
111	554.7221388
112	554.5681207
113	554.4661108
114	554.4245084
115	554.3715272
116	554.3031499
117	554.0995875
118	553.9742194
119	553.9286304
120	553.7378322
121	553.6892322
122	553.5266171
123	553.3381326
124	553.2944321
125	553.2522921
126	553.1149826
127	553.0593399
128	552.8691296
129	552.8351208
130	552.7475545
131	552.51895
132	552.216949
133	552.0631068
134	551.9138888
135	551.7688158
136	551.6530986
137	551.6175377
138	551.5689381
139	551.5526488
140	551.3359595
141	551.2337726
142	551.1387896
143	550.9255817
144	550.8138331
145	550.8110723
146	550.6814267
147	550.5820903
148	550.5319984
149	550.4719393
150	550.4109083
151	550.3178991
152	550.0983586
153	549.9676578
154	549.8747421
155	549.4832097
156	549.3521172
157	549.1708508
158	549.0392049
159	548.8954127
160	548.804917
161	548.6965658
162	548.618292
163	548.4825325
164	548.3161592
165	548.1346992
166	548.0540437
167	547.9466295
168	547.819156
169	547.6318505
170	547.5858187
171	547.4770729
172	547.4344531
173	547.3216416
174	547.0653172
175	546.823605
176	546.803509
177	546.6562601
178	546.5373838
179	546.4242933
180	546.3253761
181	546.2017052
182	545.9844737
183	545.8667566
184	545.7212582
185	545.6480167
186	545.4967315
187	545.292496
188	545.1567681
189	545.0862736
190	545.0041151
191	544.9074982
192	544.878621
193	544.6109462
194	544.4995908
195	544.4194642
196	544.3650255
197	544.3254102
198	544.1978044
199	544.0812877
200	543.9730917
201	543.7735429
202	543.6518581
203	543.4610469
204	543.2974867
205	543.087687
206	542.9237627
207	542.763818
208	542.7234663
209	542.6238406
