iter	Passed	Remaining
0	49	49739
1	51	25913
2	54	17986
3	56	13962
4	57	11536
5	59	9923
6	61	8758
7	64	7966
8	66	7325
9	68	6784
10	71	6393
11	73	6056
12	93	7102
13	95	6709
14	96	6369
15	98	6076
16	100	5829
17	102	5607
18	104	5410
19	107	5257
20	109	5082
21	111	4939
22	112	4791
23	114	4664
24	116	4553
25	191	7163
26	193	6974
27	195	6793
28	197	6628
29	200	6472
30	202	6324
31	204	6185
32	206	6051
33	213	6063
34	215	5937
35	217	5822
36	220	5727
37	288	7314
38	290	7170
39	293	7032
40	295	6901
41	297	6782
42	299	6661
43	301	6547
44	303	6435
45	305	6331
46	307	6229
47	309	6133
48	312	6057
49	315	5986
50	387	7208
51	389	7102
52	391	6990
53	392	6884
54	394	6779
55	396	6678
56	397	6582
57	399	6492
58	401	6401
59	402	6313
60	404	6229
61	406	6146
62	408	6068
63	410	6000
64	413	5946
65	485	6873
66	487	6785
67	488	6700
68	490	6617
69	492	6543
70	494	6467
71	495	6392
72	498	6324
73	499	6254
74	501	6187
75	503	6120
76	505	6055
77	506	5992
78	509	5944
79	583	6704
80	585	6640
81	587	6576
82	589	6513
83	591	6452
84	593	6392
85	596	6337
86	598	6278
87	600	6222
88	602	6170
89	605	6121
90	682	6815
91	684	6754
92	686	6697
93	688	6637
94	690	6578
95	692	6522
96	694	6466
97	696	6414
98	699	6366
99	701	6316
100	780	6948
101	782	6893
102	785	6836
103	786	6779
104	788	6724
105	790	6671
106	792	6616
107	794	6563
108	796	6511
109	798	6459
110	800	6411
111	802	6364
112	879	6906
113	881	6852
114	883	6799
115	885	6747
116	887	6695
117	888	6643
118	890	6593
119	892	6543
120	893	6494
121	895	6446
122	897	6400
123	899	6354
124	901	6307
125	902	6262
126	978	6723
127	979	6676
128	982	6631
129	983	6584
130	986	6542
131	988	6497
132	989	6452
133	991	6409
134	993	6368
135	995	6326
136	997	6283
137	999	6241
138	1000	6200
139	1003	6162
140	1005	6128
141	1078	6516
142	1080	6475
143	1082	6435
144	1084	6395
145	1086	6352
146	1088	6314
147	1090	6276
148	1092	6237
149	1094	6200
150	1096	6162
151	1098	6127
152	1101	6097
153	1104	6067
154	1176	6416
155	1179	6380
156	1181	6345
157	1185	6315
158	1187	6279
159	1189	6243
160	1191	6208
161	1193	6175
162	1195	6140
163	1198	6107
164	1200	6073
165	1202	6043
166	1275	6362
167	1277	6326
168	1279	6290
169	1281	6256
170	1283	6223
171	1285	6188
172	1287	6154
173	1289	6120
174	1291	6088
175	1293	6055
176	1301	6049
177	1373	6342
178	1375	6308
179	1377	6275
180	1379	6240
181	1380	6205
182	1382	6172
183	1384	6137
184	1385	6104
185	1387	6071
186	1389	6040
187	1391	6008
188	1393	5978
189	1395	5947
190	1397	5918
191	1400	5895
192	1472	6158
193	1474	6127
194	1476	6095
195	1478	6063
196	1479	6031
197	1481	6001
198	1483	5971
199	1485	5941
200	1486	5910
201	1488	5882
202	1490	5853
203	1492	5824
204	1494	5796
205	1496	5769
206	1570	6015
207	1572	5986
208	1573	5956
209	1575	5927
210	1577	5898
211	1579	5869
212	1580	5840
213	1582	5812
214	1584	5784
215	1585	5756
216	1587	5728
217	1589	5700
218	1590	5672
219	1592	5646
220	1669	5884
221	1671	5857
222	1672	5829
223	1674	5801
224	1677	5776
225	1679	5751
226	1681	5726
227	1683	5701
228	1685	5676
229	1688	5651
230	1769	5891
231	1771	5864
232	1773	5837
233	1775	5810
234	1777	5784
235	1778	5758
236	1780	5732
237	1782	5705
238	1783	5680
239	1785	5654
240	1787	5628
241	1789	5604
242	1790	5579
243	1793	5555
244	1795	5534
245	1798	5512
246	1800	5488
247	1802	5465
248	1804	5442
249	1806	5419
250	1808	5396
251	1810	5373
252	1812	5351
253	1814	5330
254	1821	5321
255	1824	5303
256	1894	5476
257	1896	5454
258	1898	5432
259	1901	5411
260	1903	5390
261	1905	5368
262	1907	5346
263	1909	5324
264	1911	5302
265	1913	5280
266	1917	5263
267	1993	5445
268	1995	5423
269	1997	5401
270	2000	5380
271	2002	5358
272	2004	5336
273	2006	5315
274	2008	5294
275	2010	5272
276	2012	5252
277	2014	5231
278	2092	5407
279	2094	5386
280	2096	5364
281	2098	5343
282	2100	5321
283	2102	5300
284	2104	5279
285	2106	5258
286	2108	5237
287	2109	5216
288	2111	5195
289	2113	5175
290	2116	5155
291	2190	5311
292	2192	5290
293	2194	5269
294	2196	5248
295	2197	5227
296	2199	5206
297	2201	5185
298	2203	5165
299	2204	5144
300	2206	5125
301	2208	5104
302	2210	5085
303	2290	5244
304	2292	5223
305	2294	5203
306	2296	5183
307	2298	5164
308	2300	5144
309	2302	5125
310	2304	5105
311	2306	5085
312	2307	5065
313	2309	5045
314	2311	5026
315	2312	5006
316	2388	5146
317	2390	5127
318	2392	5107
319	2394	5087
320	2396	5068
321	2397	5048
322	2399	5029
323	2401	5010
324	2403	4990
325	2404	4971
326	2406	4952
327	2407	4933
328	2409	4914
329	2412	4898
330	2415	4882
331	2487	5005
332	2489	4986
333	2492	4969
334	2494	4951
335	2496	4932
336	2497	4914
337	2499	4895
338	2501	4877
339	2503	4858
340	2505	4841
341	2506	4823
342	2509	4806
343	2511	4789
344	2586	4910
345	2588	4892
346	2590	4874
347	2592	4857
348	2594	4840
349	2596	4822
350	2598	4805
351	2600	4787
352	2602	4770
353	2604	4752
354	2606	4735
355	2608	4718
356	2611	4703
357	2684	4814
358	2686	4796
359	2688	4779
360	2689	4761
361	2691	4743
362	2693	4726
363	2695	4709
364	2696	4691
365	2698	4674
366	2700	4658
367	2702	4641
368	2704	4623
369	2705	4606
370	2707	4590
371	2784	4700
372	2785	4682
373	2787	4665
374	2789	4648
375	2790	4631
376	2792	4614
377	2794	4598
378	2796	4581
379	2797	4565
380	2799	4548
381	2801	4531
382	2802	4515
383	2804	4498
384	2806	4482
385	2807	4466
386	2809	4450
387	2811	4434
388	2883	4528
389	2885	4512
390	2887	4497
391	2889	4481
392	2891	4466
393	2893	4450
394	2895	4435
395	2897	4419
396	2900	4404
397	2901	4389
398	2904	4374
399	2906	4359
400	2981	4453
401	2983	4437
402	2985	4422
403	2987	4406
404	2989	4391
405	2991	4377
406	2993	4361
407	2995	4346
408	2997	4331
409	2999	4316
410	3001	4301
411	3004	4287
412	3012	4282
413	3015	4267
414	3017	4253
415	3019	4238
416	3021	4223
417	3023	4209
418	3025	4195
419	3027	4181
420	3030	4167
421	3031	4152
422	3033	4138
423	3035	4124
424	3038	4111
425	3041	4098
426	3078	4130
427	3080	4116
428	3081	4102
429	3084	4088
430	3086	4074
431	3088	4061
432	3090	4047
433	3093	4034
434	3095	4021
435	3097	4007
436	3100	3994
437	3102	3981
438	3104	3967
439	3106	3954
440	3109	3940
441	3111	3927
442	3113	3914
443	3115	3901
444	3117	3888
445	3119	3875
446	3121	3862
447	3124	3849
448	3126	3836
449	3175	3880
450	3177	3867
451	3178	3854
452	3180	3840
453	3183	3828
454	3185	3815
455	3187	3802
456	3189	3789
457	3191	3776
458	3193	3763
459	3195	3750
460	3196	3737
461	3198	3725
462	3200	3712
463	3202	3699
464	3204	3686
465	3206	3674
466	3208	3661
467	3210	3649
468	3211	3636
469	3213	3624
470	3215	3611
471	3217	3599
472	3220	3588
473	3223	3577
474	3226	3565
475	3228	3554
476	3230	3542
477	3233	3530
478	3235	3518
479	3237	3506
